nombre,codigo,creditos
Marketing de Contenido en Video Marketing,FIS296,1
Cerámica de Alta Temperatura,ENF267,2
Biología de la Ecología de Desiertos,MAT246,3
Geografía de la Geografía Humana Urbana,ESE282,2
Psicología del Comportamiento Organizacional,DGR227,3
Economía de la Política de Energía Eólica,PER297,2
Filosofía de la Filosofía del Arte Contemporáneo,BIO281,3
Programación en Perl,SOC221,4
Sociología de la Política de Big Data,IEL289,5
Historia del Arte del Renacimiento Inglés,SOC299,2
Terapia de Terapia de Terapia de Terapia de Arte para Niños Autistas,CCO200,5
Marketing de Contenido en Video Marketing,EPR273,3
Cerámica de Alta Temperatura,ECO284,1
Biología de la Ecología de Ecosistemas Fluviales,TEA272,3
Geografía de la Geografía Económica Internacional,DAN209,1
Psicología de la Psicología de la Salud Mental,TEA219,5
Economía de la Política de Transporte Sostenible,MKT262,3
Filosofía de la Filosofía del Feminismo Posmoderno,CIV205,3
Diseño de Videojuegos,ECO282,5
Sociología de la Política de Ciberseguridad,ADE227,3
Historia del Arte del Renacimiento Escocés,BIO296,2
Terapia de Terapia de Terapia de Terapia de Juego Adolescente,EPR273,2
Marketing de Contenido en Moda y Belleza,GEO296,2
Escultura en Pap,BIO267,2
Estructura de Datos y Algoritmos I,HIS273,5
el Maché,ECO276,1
Biología de la Ecología de Ecosistemas Marinos,PER220,4
Geografía de la Geografía de la Planificación del Desarrollo,PER214,4
Psicología de la Psicología de la Psicología de la Personalidad,CON267,4
Economía de la Política de Energía Nuclear,ADE246,3
Filosofía de la Filosofía de la Ciencia de Datos,DAN262,5
Programación en Scala,CMP217,1
Sociología de la Política de Privacidad en Línea,CCO245,4
Historia del Arte del Renacimiento Portugués,ECO284,2
Terapia de Terapia de Terapia de Terapia de Arte Adolescente,DAN223,1
Marketing de Contenido en Nutrición y Fitness,ECO249,3
Fotografía de Naturaleza Salvaje,HIS274,3
Biología de la Ecología de Ecosistemas de Montaña,MAT267,1
Geografía de la Geografía Cultural Urbana,MKT241,5
Psicología de la Psicología de la Psicología Escolar,TSO284,4
Economía de la Política de Energía Hidroeléctrica,ESE260,5
Filosofía de la Filosofía de la Ética Empresarial,MED272,5
Diseño de Aplicaciones Móviles para Juegos,MUS283,3
Sociología de la Política de Medios Sociales,ARQ208,1
Historia del Arte del Barroco Español,ARQ219,2
Terapia de Terapia de Terapia de Terapia de Terapia de Arte Infantil,ENF209,4
Marketing de Contenido en Viajes de Aventura y Aire Libre,PER236,4
Pintura al Grafito,CAM278,4
Biología de la Ecología de Ecosistemas de Bosques Tropicales,ECO286,4
Geografía de la Ecología Urbana,HIS300,2
Psicología de la Psicología Evolutiva,MAT289,2
Economía de la Política de Energía Solar,SOC208,5
Filosofía de la Filosofía de la Ética Empresarial,ENF279,4
Diseño de Aplicaciones Móviles para Entretenimiento,SOC201,3
Sociología de la Política de Educación,DGR287,5
Historia del Arte del Renacimiento Italiano,TEA279,5
Terapia de Terapia de Terapia de Terapia de Terapia de Arte en Adolescentes,BIO245,3
Marketing de Contenido en Estilo de Vida Saludable,EPR225,5
Escultura en Metal Fundido,CPI272,1
Biología de la Ecología de Ecosistemas de Sabanas,GEO257,1
Geografía de la Geografía de la Población Rural,ENF214,1
Psicología de la Psicología de la Psicología de la Creatividad Infantil,DER277,2
Economía de la Política de Desarrollo Sostenible,CPI300,3
Filosofía de la Filosofía del Arte Abstracto,MAT205,4
Contabilidad I,TSO256,5
